group,Communist,Conservative,Independent,Liberal,Libertarian,Socialist,Other,Unsure
2018,,34,13,86,8,,59,
2019,,51,35,114,9,,2,63
2020,,31,42,123,8,13,5,44
2021,6,27,32,99,7,34,4,32
