label,value
"Art",287
"Computer Science",39
"English",665
"History and Social Science",520
"Mathematics",281
"Music",88
"Natural Sciences",250
"Philosophy and Religious Studies",218
"Physical Education",28
"Statistics",47
"Theatre and Dance",46
"World Languages",284
"Not applicable (Does not exist)",30
