group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,2.8,2.6,2.4,2.2,2.0 or below
Man,66,70,69,66,43,39,15,13,6,3,4,0,0,0,0,0,0,0,0,0,0
