group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,2.8,2.6,2.4,2.2,2.0 or below
Woman,92,102,76,66,45,24,19,6,6,5,1,0,0,0,0,0,0,0,0,0,0
