group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,
Man,43,60,55,53,48,46,28,17,6,5,5,0,2,1,0,0
Woman,55,90,66,76,42,37,17,11,2,6,0,0,0,1,0,1
