label,value
"Not applicable (There are no social divides at Andover)",49
"Ability/Disability",225
"Ethnicity",420
"Gender",372
"Neurodiversities",200
"Political belief",523
"Race",556
"Religion",115
"Sexual orientation",482
"Socioeconomic status",535
"Other (please specify)",6
