label,value
Al Jazeera,54
AP,80
BBC,296
Buzzfeed,81
CNBC,103
CNN,466
Daily Mail,102
Financial Times,68
Forbes,132
Fox News,126
New York Post,132
NPR,217
The Guardian,161
The New York Times,670
The Wall Street Journal,288
The Washington Post,307
Vox Media,101
Not applicable (I don't read the news),133
Other (please specify),77
