label,value
African American,64
Asian American,240
Broadly European,218
East Asian,153
Ethnically Jewish,61
Hispanic,89
Latinx,89
Middle Eastern,45
Native American,13
North African,6
Pacific Islander,12
Scandinavian,22
South Asian,39
Southeast Asian,41
Sub-Saharan African,15
West Indian/Caribbean,22
West European,201
Other,19
