group,Upper class,Upper-middle class,Middle class,Lower-middle class,Lower class
"$500,000 or more",196,59,3,0,2
"$250,000 to $499,999",44,97,8,0,0
"$150,000 to $249,999",5,81,29,2,0
"$100,000 to $149,999",0,39,34,6,0
"$60,000 to $99,999",1,5,27,23,3
"$35,000 to $59,999",0,0,9,15,8
"$34,999 or less",1,1,0,3,22
Unsure,49,121,43,11,4
