label,value
"Ability/Disability",222
"Ethnicity",387
"Gender",379
"Political belief",574
"Race",539
"Religion",145
"Sexual orientation",434
"Socioeconomic status",529
"Other",13
"N/A, there are no social divides at Andover",84
